nro_reuniao,dataReferencia,para_idx,text,char_len,word_count,label,label_auto
251,2022-12-07,0,"Em sua 251ª reunião, o Comitê de Política Monetária (Copom) decidiu manter a taxa Selic em 13,75% a.a.",102,18,,decisao
251,2022-12-07,1,A atualização do cenário do Copom pode ser descrita com as seguintes observações:,81,13,,outros
251,2022-12-07,2,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; (ii) a elevada incerteza sobre o futuro do arcabouço fiscal do país e estímulos fiscais adicionais que impliquem sustentação da demanda agregada, parcialmente incorporados nas expectativas de inflação e nos preços de ativos; e (iii) um hiato do produto mais estreito que o utilizado atualmente pelo Comitê em seu cenário de referência, em particular no mercado de trabalho. Entre os riscos de baixa, ressaltam-se (i) uma queda adicional dos preços das commodities internacionais em moeda local; (ii) uma desaceleração da atividade econômica global mais acentuada do que a projetada; e (iii) a manutenção dos cortes de impostos projetados para serem revertidos em 2023. A conjuntura, particularmente incerta no âmbito fiscal, requer serenidade na avaliação dos riscos.  O Comitê acompanhará com especial atenção os desenvolvimentos futuros da política fiscal e, em particular, seus efeitos nos preços de ativos e expectativas de inflação, com potenciais impactos sobre a dinâmica da inflação prospectiva.",1270,191,,riscos_alta
251,2022-12-07,3,"Considerando os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu manter a taxa básica de juros em 13,75% a.a. O Comitê entende que essa decisão reflete a incerteza ao redor de seus cenários e um balanço de riscos com variância ainda maior do que a usual para a inflação prospectiva, e é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui os anos de 2023 e de 2024. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",682,116,,decisao
251,2022-12-07,4,"O Comitê se manterá vigilante, avaliando se a estratégia de manutenção da taxa básica de juros por período suficientemente prolongado será capaz de assegurar a convergência da inflação. O Comitê reforça que irá perseverar até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas. O Comitê enfatiza que os passos futuros da política monetária poderão ser ajustados e não hesitará em retomar o ciclo de ajuste caso o processo de desinflação não transcorra como esperado.",533,86,,inflacao
251,2022-12-07,5,"Votaram por essa decisão os seguintes membros do Comitê: Roberto de Oliveira Campos Neto (presidente), Bruno Serra Fernandes, Carolina de Assis Barros, Diogo Abry Guillen, Fernanda Magalhães Rumenos Guardado, Maurício Costa de Moura, Paulo Sérgio Neves de Souza e Renato Dias de Brito Gomes.",291,44,,votacao
251,2022-12-07,7,*Valor obtido pelo procedimento usual de arredondar a cotação média da taxa de câmbio USD/BRL observada nos cinco dias úteis encerrados no último dia da semana anterior à da reunião do Copom.,191,32,,outros
252,2023-02-01,0,"Em sua 252ª reunião, o Comitê de Política Monetária (Copom) decidiu manter a taxa Selic em 13,75% a.a.",102,18,,decisao
252,2023-02-01,1,A atualização do cenário do Copom pode ser descrita com as seguintes observações:,81,13,,outros
252,2023-02-01,2,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; (ii) a ainda elevada incerteza sobre o futuro do arcabouço fiscal do país e estímulos fiscais que implicam sustentação da demanda agregada, parcialmente incorporados nas expectativas de inflação e nos preços de ativos; e (iii) um hiato do produto mais estreito que o utilizado atualmente pelo Comitê em seu cenário de referência, em particular no mercado de trabalho. Entre os riscos de baixa, ressaltam-se (i) uma queda adicional dos preços das commodities internacionais em moeda local; (ii) uma desaceleração da atividade econômica global mais acentuada do que a projetada; e (iii) a manutenção dos cortes de impostos projetados para serem revertidos em 2023.",929,144,,riscos_alta
